0	99999	99999	35	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	54	99999	99999	99999	99999
99999	0	99999	99999	99999	45	99999	41	9	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
99999	99999	0	99999	35	11	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999
35	99999	99999	0	99999	99999	118	99999	99999	99999	60	99999	99999	99999	99999	99999	99999	99999	99999	99999
99999	99999	35	99999	0	43	99999	99999	99999	99999	99999	99999	99999	99999	48	99999	99999	99999	99999	99999
99999	45	11	99999	43	0	99999	99999	99999	99999	99999	99999	99999	99999	78	99999	99999	99999	99999	99999
99999	99999	99999	118	99999	99999	0	99999	99999	99999	41	99999	99999	99999	99999	99999	99999	30	99999	99999
99999	41	99999	99999	99999	99999	99999	0	99999	130	99999	99999	53	99999	99999	99999	99999	99999	99999	99999
99999	9	99999	99999	99999	99999	99999	99999	0	99999	99999	99999	21	45	99999	99999	99999	99999	99999	99999
99999	99999	99999	99999	99999	99999	99999	130	99999	0	99999	111	44	99999	99999	99999	99999	22	41	99999
99999	99999	99999	60	99999	99999	41	99999	99999	99999	0	99999	99999	99999	99999	85	99999	99999	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	111	99999	0	99999	99999	99999	99999	99999	99999	99999	48
99999	99999	99999	99999	99999	99999	99999	53	21	44	99999	99999	0	45	99999	99999	99999	99999	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	45	99999	99999	99999	45	0	84	99999	99999	99999	99999	20
99999	99999	99999	99999	48	78	99999	99999	99999	99999	99999	99999	99999	84	0	99999	36	99999	99999	99999
54	99999	99999	99999	99999	99999	99999	99999	99999	99999	85	99999	99999	99999	99999	0	99999	99999	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	36	99999	0	99999	99999	99999
99999	99999	99999	99999	99999	99999	30	99999	99999	22	99999	99999	99999	99999	99999	99999	99999	0	99999	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	41	99999	99999	99999	99999	99999	99999	99999	99999	0	99999
99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	99999	48	99999	20	99999	99999	99999	99999	99999	0
